Regular (kW)	PermPress (kW)	Timed (kW)
2.85	2.9	2.82
2.95	3.01	2.94
2.94	2.99	2.94
2.93	2.98	2.93
2.9	2.98	2.93
2.89	2.98	2.93
2.89	2.97	2.96
2.9	2.97	2.96
2.9	3.02	2.97
2.88	3.03	2.97
2.88	3.02	2.95
2.88	2.99	2.95
2.88	2.98	2.96
2.87	2.99	2.94
2.88	2.98	2.93
2.88	2.99	2.92
2.86	0.51	2.93
2.85	0.19	0.28
2.86	2.95	0.18
0.45	2.96	1.47
0.2	2.67	2.93
0.2	0.19	2.94
1.48	0.19	2.93
2.91	2.31	2.81
2.91	2.97	0.18
2.9	0.99	0.18
1.68	0.19	0.18
0.19	0.19	1.87
0.19	2.54	2.94
0.19	2.73	2.95
0.19	0.19	0.88
1.97	0.19	0.18
2.89	0.19	0.18
2.88	2.02	0.18
0.78	2.62	0.18
0.19	0.19	0.18
0.19	0.18	0.18
0.19	0.19	0.18
0.19	2.19	0.18
0.19	2.56	0.18
1.85	0.19	0.18
2.9	0.19	0.18
1.71	0.19	0.18
0.19	0.19	0.1
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.19	0.19	0
0.15	0.19	0
0	0.19	0
0	0.19	0
0	0.19	0
0	0	0
0	0	0
0	0	0
