Regular (kW)	PermPress (kW)	Timed (kW)
0.002	0	0
0.002	0	0
0.002	0	0
3.132	3.218	3.144
3.132	3.218	3.144
3.132	3.218	3.144
3.132	3.218	3.144
3.132	3.218	3.144
3.038	3.218	3.028
3.038	3.218	3.028
3.038	3.084	3.028
3.038	3.084	3.028
3.038	3.084	3.028
3.014	3.084	2.982
3.014	3.084	2.982
3.014	3.044	2.982
3.014	3.044	2.982
3.014	3.044	2.982
2.984	3.044	2.958
2.984	3.044	2.958
2.984	3.034	2.958
2.984	3.034	2.958
2.984	3.034	2.958
2.972	3.034	2.94
2.972	3.034	2.94
2.972	3.024	2.94
2.972	3.024	2.94
2.972	3.024	2.94
2.976	3.024	2.936
2.976	3.024	2.936
2.976	3.024	2.936
2.976	3.024	2.936
2.976	3.024	2.936
2.976	3.024	2.942
2.976	3.024	2.942
2.976	3.02	2.942
2.976	3.02	2.942
2.976	3.02	2.942
2.972	3.02	2.936
2.972	3.02	2.936
2.972	3.02	2.936
2.972	3.02	2.936
2.972	3.02	2.936
2.966	3.02	2.934
2.966	3.02	2.934
2.966	3.02	2.934
2.966	3.02	2.934
2.966	3.02	2.934
2.97	3.02	2.934
2.97	3.02	2.934
2.97	3.02	2.934
2.97	3.02	2.934
2.97	3.02	2.934
2.96	3.02	2.932
2.96	3.02	2.932
2.96	3.02	2.932
2.96	3.02	2.932
2.96	3.02	2.932
2.962	3.02	2.932
2.962	3.02	2.932
2.962	3.028	2.932
2.962	3.028	2.932
2.962	3.028	2.932
2.962	3.028	2.93
2.962	3.028	2.93
2.962	3.012	2.93
2.962	3.012	2.93
2.962	3.012	2.93
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.944
2.95	3.012	2.944
2.95	3.01	2.944
2.95	3.01	2.944
2.95	3.01	2.944
2.946	3.01	2.946
2.946	3.01	2.946
2.946	3.014	2.946
2.946	3.014	2.946
2.946	3.014	2.946
2.95	3.014	2.934
2.95	3.014	2.934
2.95	3.014	2.934
2.95	3.014	2.934
2.95	3.014	2.934
2.948	3.014	2.932
2.948	3.014	2.932
2.948	3.012	2.932
2.948	3.012	2.932
2.948	3.012	2.932
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.95	3.012	2.936
2.948	3.012	2.936
2.948	3.012	2.936
2.948	3.008	2.936
2.948	3.008	2.936
2.948	3.008	2.936
2.954	3.008	2.938
2.954	3.008	2.938
2.954	2.996	2.938
2.954	2.996	2.938
2.954	2.996	2.938
2.954	2.996	2.946
2.954	2.996	2.946
2.954	3	2.946
2.954	3	2.946
2.954	3	2.946
2.946	3	2.938
2.946	3	2.938
2.946	2.994	2.938
2.946	2.994	2.938
2.946	2.994	2.938
2.95	2.994	2.94
2.95	2.994	2.94
2.95	2.998	2.94
2.95	2.998	2.94
2.95	2.998	2.94
2.952	2.998	2.936
2.952	2.998	2.936
2.952	2.992	2.936
2.952	2.992	2.936
2.952	2.992	2.936
2.952	2.992	2.938
2.958	2.992	2.938
2.958	2.992	2.938
2.958	2.992	2.938
2.958	2.992	2.938
2.956	2.992	2.946
2.956	2.992	2.946
2.956	2.992	2.946
2.956	2.992	2.946
2.956	2.992	2.946
2.95	2.992	2.942
2.95	2.992	2.942
2.95	2.994	2.942
2.95	2.994	2.942
2.95	2.994	2.942
2.948	2.994	2.934
2.948	2.994	2.934
2.948	2.992	2.934
2.948	2.992	2.934
2.948	2.992	2.934
2.948	2.992	2.936
2.948	2.992	2.936
2.948	2.996	2.936
2.948	2.996	2.936
2.948	2.996	2.936
2.958	2.996	2.938
2.958	2.996	2.938
2.958	2.988	2.938
2.958	2.988	2.938
2.958	2.988	2.938
2.934	2.988	2.938
2.934	2.988	2.938
2.934	2.988	2.938
2.934	2.988	2.938
2.934	2.988	2.938
2.936	2.988	2.944
2.936	2.988	2.944
2.936	2.984	2.944
2.936	2.984	2.944
2.936	2.984	2.944
2.924	2.984	2.942
2.924	2.984	2.942
2.924	2.984	2.942
2.924	2.984	2.942
2.924	2.984	2.942
2.926	2.984	2.938
2.926	2.984	2.938
2.926	2.986	2.938
2.926	2.986	2.938
2.926	2.986	2.938
2.934	2.986	2.942
2.934	2.986	2.942
2.934	2.984	2.942
2.934	2.984	2.942
2.934	2.984	2.942
2.934	2.984	2.934
2.934	2.984	2.934
2.934	2.986	2.934
2.934	2.986	2.934
2.934	2.986	2.934
2.942	2.986	2.938
2.942	2.986	2.938
2.942	2.98	2.938
2.942	2.98	2.938
2.942	2.98	2.938
2.938	2.98	2.944
2.938	2.98	2.944
2.938	2.976	2.944
2.938	2.976	2.944
2.938	2.976	2.944
2.934	2.976	2.948
2.934	2.976	2.948
2.934	2.984	2.948
2.934	2.984	2.948
2.934	2.984	2.948
2.942	2.984	2.934
2.942	2.984	2.934
2.942	2.98	2.934
2.942	2.98	2.934
2.942	2.98	2.934
2.942	2.98	2.926
2.942	2.98	2.926
2.942	2.978	2.926
2.942	2.978	2.926
2.942	2.978	2.926
2.938	2.978	2.936
2.938	2.978	2.936
2.938	2.978	2.936
2.938	2.978	2.936
2.938	2.978	2.936
