Regular (kW)	PermPress (kW)	Timed (kW)
5.51	2.83	5.46
5.47	3	5.74
1.52	3.01	2.12
2.73	2.73	4.21
3.98	1.46	3.23
0.88	2.27	1.92
4.69	1.69	4.98
2.04	1.79	1.9
2.9	1.88	3.37
3.77	1	
1.33	1.61	1.46
3.2	0.27	4.66
0.23	0.27	2.05
2.08	0.27	3.28
1.19	0.26	3.82
2.62	0	1.6
0.22	0	4.76
2.71	0	1.73
0.22	0	3.36
3.04	0	3.39
0.23	0	1.9
1.5	0	4.87
1.7	0	1.17
0.23	0	4.18
2.63	0	2.74
0.23	0	1.03
0.23	0	0.27
0.23	0	0.27
0.22	0	0.27
0.22	0	0.27
0.08	0	0.04
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
