Regular (kW)	PermPress (kW)	Timed (kW)
0	0	0
0	0	0
0	0	0
6.068	1.592	4.712
6.068	1.592	4.712
6.068	3.178	6.07
6.068	3.178	6.07
6.068	3.178	6.07
5.882	3.178	6.07
5.882	3.178	6.07
5.882	3.066	5.866
5.882	3.066	5.866
5.882	3.066	5.866
5.796	3.066	5.866
5.796	3.066	5.866
5.796	3.032	5.802
5.796	3.032	5.802
5.796	3.032	5.802
5.776	3.032	5.802
5.776	3.022	5.802
5.776	3.022	5.782
5.776	3.022	5.782
5.776	3.022	5.782
5.776	3.022	5.782
5.768	3.016	5.782
5.768	3.016	5.776
5.768	3.016	5.776
5.768	3.016	5.776
5.768	3.016	5.776
5.762	3.016	5.776
5.762	3.016	5.776
5.762	3.016	5.776
5.762	3.016	5.776
5.762	3.016	5.776
5.764	3.012	5.776
5.764	3.012	5.682
5.764	3.012	5.682
5.764	3.012	5.682
5.764	3.012	5.682
5.76	3.008	5.682
5.76	3.008	5.682
5.76	3.008	5.682
5.76	3.008	5.682
5.76	3.008	5.682
5.754	3.008	5.682
5.754	3.006	5.668
5.754	3.006	5.668
5.754	3.006	5.752
5.754	3.006	5.752
5.75	3.008	5.752
5.75	3.008	5.752
5.75	3.008	5.752
5.75	3.008	5.76
5.75	3.008	5.76
5.75	3.006	5.76
5.75	3.006	5.76
5.75	3.006	5.76
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.75	3.006	5.75
5.756	3.006	5.75
5.756	3.006	5.75
5.756	3.006	5.75
5.756	3.006	5.756
5.756	3.006	5.756
5.75	3.006	5.756
5.75	3.006	5.756
5.75	3.006	5.756
5.75	3.006	5.744
5.75	3.004	5.744
5.74	3.004	5.744
5.74	3.004	5.744
5.74	3.004	5.744
5.74	3.004	5.738
5.74	3	5.738
5.758	3	5.738
5.758	3	5.738
5.758	3	5.738
5.758	3	5.744
5.758	3	5.744
5.754	3	5.744
5.754	3	5.744
5.754	3	5.744
5.754	3	5.742
5.754	3.002	5.742
5.752	3.002	5.742
5.752	3.002	5.742
5.752	3.002	5.742
5.752	3.002	5.734
5.752	3.002	5.734
5.748	3.002	5.734
5.748	3.002	5.734
5.748	3.002	5.734
5.748	3.002	5.738
5.748	3.002	5.738
5.748	3.002	5.738
5.748	3.002	5.738
