Regular (kW)	PermPress (kW)	Delicates (kW)
0.01	0.01	0
0.01	0.01	0.24
0.38	0.58	0.51
0.52	0.66	0.5
0.51	0.53	0.5
0.51	0.51	0.5
0.51	0.5	0.5
0.51	0.51	0.47
0.51	0.51	0.47
0.51	0.51	0.46
0.51	0.51	0.46
0.51	0.51	0.48
0.5	0.24	0.52
0.45	0	0.25
0.44	0.14	0.01
0.44	0.51	0.51
0.53	0.47	0.49
0.55	0.46	0.48
0.13	0.44	0.45
0	0.44	0.45
0.45	0.47	0.45
0.65	0.51	0.55
0.57	0.37	0.51
0.51	0.01	0.51
0.47	0.15	0.51
0.44	0.52	0
0.43	0.52	0
0.43	0.53	0
0.5	0.5	0
0.52	0.47	0
0.52	0.44	0
0.52	0.44	0
0.52	0.49	0
0.52	0.57	0
0.16	0.53	0
0	0.53	0
0	0.39	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
