Regular (kW)	PermPress (kW)	Delicates (kW)
0	0	0
0	0	0
0	0	0
0.004	0.006	0.006
0.004	0.006	0.006
0.004	0.006	0.006
0.004	0.006	0.006
0.004	0.006	0.006
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.006
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.004
0.006	0.006	0.628
0.006	0.006	0.628
0.006	0.006	0.628
0.006	0.006	0.628
0.006	0.006	0.628
0.004	0.006	0.514
0.004	0.006	0.514
