Regular (W)	PermPress (W)	Delicates (W)
17.2	13.44	12
13.77	16.18	15.41
33.16	26.1	30.53
42.66	63.29	85.79
65.36	61.79	71.81
56.6	57.28	108.34
55.12	54.45	71.32
55.01	55.79	63.4
59.11	60.15	100.03
67.08	60.1	67.45
65.16	55.04	75.44
57.88	55.93	84.72
55.4	57.63	142.76
66.07	59.98	63.21
66.42	63.34	85.19
68.81	62.33	68.71
22.76	56.52	57.77
18.28	58.84	48.08
30.65	60.01	18.14
56.37	55.92	27.62
45.87	44.79	27.97
68.3	17.83	108.31
133.37	27.92	82.72
209.99	35.22	62.65
198.31	41.51	84.08
104.95	125.56	52.97
14.97	202.32	59.23
32.65	201.93	27.83
94.06	48.02	88.54
100.85	18.73	83.69
113.96	39.24	72.62
113.82	61.25	62.17
64.19	66.57	69.85
53.1	68.87	64.26
63.88	55.96	47.24
112.12	65.87	75.95
65.45	34.67	58.61
65.16	190.87	108.55
212.86	208.61	204.68
216.91	146.31	194.1
158.99	19.34	100.7
22.58	32.53	8.64
33.26	51.57	0
85.39	71.82	0
95.39	64.92	0
85.33	65.92	0
87.43	63.77	0
89.73	36.66	0
40.75	168.42	0
105.26	228.74	0
142.99	199.58	0
223.39	186.65	0
212.43	187.83	0
201.03	171.27	0
227.01	170.72	0
221.43	153.36	0
253.43	14.03	0
278.28	2.32	0
269.83	0	0
51.45	0	0
