Regular (W)	PermPress (W)	Delicates (W)
0	0	0
0	0	0
0	0	0
63.1	34.3	0
63.1	48.6	0
43.2	16.8	0
12.8	10.7	0
10.3	10.1	36.5
9.9	9.4	36.5
9.9	9.2	16
9.1	9.1	16
8.9	9.1	9.5
8.8	8.8	9.5
48.4	8.6	9.1
127.6	8.5	9.1
13.8	8.4	8.9
9	8.9	8.9
8.8	11.4	8.6
8.8	8.2	8.6
8.7	8.2	8.3
9.4	8.2	8.3
9.2	8.1	9.6
8.5	8.1	9.6
9.4	43.6	8.7
8.5	20.9	8.7
30.3	23.5	11.1
25.5	12.2	11.1
25.5	8.1	8.2
25.5	8.1	8.2
9.1	8.5	31.1
8.3	8	31.1
8.3	11.2	25.1
8.9	8	25.1
8.3	7.9	11.2
9.3	44.2	11.2
8.9	20.2	8
30	20.2	8
26.8	13.7	8.3
22.9	13.1	8.3
13.5	13	8
12.5	13	8
12.5	12.9	23
13.2	8	23
13.3	7.8	13.1
13.3	7.9	13.1
10.1	29.5	12.9
8.1	23	12.9
8.1	18.8	8.2
21.7	12.1	8.2
22.7	7.9	7.9
9.5	7.9	7.9
8.4	9.1	24.3
8.2	7.7	24.3
8	7.7	20
10.1	9.2	20
8.1	8	8
8	26.9	8
10	22.5	8.2
33.6	17.6	8.2
22	11.5	8.1
21	8.2	8.1
9.4	7.9	11.2
10.7	11.3	11.2
10	7.9	25.2
8	7.8	25.2
10.6	9.1	8.8
8.1	9.1	8.8
8.1	28.4	8.1
10.6	23.7	8.1
36.5	17.2	7.8
21.8	14.1	7.8
25.6	13.1	8
13.7	13.1	8
13.4	8	31.9
13.3	8	31.9
13.4	7.8	13.8
8.2	7.7	13.8
7.8	47.4	12.9
7.8	35.6	12.9
7.8	23.5	7.9
38.3	11.2	7.9
23.1	7.9	7.8
13.1	7.7	7.8
9.2	7.8	39
7.8	7.7	39
7.9	12.9	22.9
7.8	13	22.9
7.7	13	7.9
11.9	55	7.9
13.2	28.9	7.7
13.1	22.5	7.7
13.1	22.5	12.8
31.5	7.8	12.8
13.7	7.7	16.4
7.9	7.6	16.4
7.8	7.7	32.3
7.8	7.7	32.3
7.8	7.7	8
7.7	7.6	8
7.7	54.5	7.8
7.7	54.5	7.8
31.9	23	7.8
34	13.8	7.8
31.9	13	7.7
9.1	13	7.7
12.6	13	29.7
13.2	13	29.7
13.1	8.4	26
13.2	7.6	26
13.2	7.9	12.9
