Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
1202.3	2253.7	940.6	2666.1
1284	2351.8	479.6	2748.8
1028.5	2353.7	2814.3	2582.6
827.4	2351.8	2815.6	2588.3
825.9	2344.2	2755	2588.8
710.6	2337.3	2799.9	2588
707	2199	2765.7	2584.1
680	1959	2805.4	2723.9
625.9	2139.2	2729.1	2578.3
888	1958.6	2771.8	2717.7
870.5	1324.6	2838.3	2701.8
788.7	998	2793.1	2561.2
863.9	1031.9	2849.6	2565.9
737.4	1228.9	2795.1	2574.9
2	1348.3	2848.9	2813.7
74.1	864.7	2758.8	2570.9
227.9	3.8	2849.2	2571.3
168	2	2776.1	507
170	401.5	2605.5	0
832.9	168.8	32	0
513.9	210.4	32	0
0.8	350.9	1480	0
0	265.2	2847.2	0
0	204	2762.8	0
0	206.5	2516.6	0
0	161.9	31.8	0
0	0	31.7	0
0	0	2351.2	0
0	0	2613.1	0
0	0	0	0
