Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
2	2	2	3072
2	2	2	3072
2	2	2	3072
536	2508	706	3072
536	2508	706	3072
1326	2508	2818	3072
1326	2508	2818	3052
1326	2508	2818	3052
1326	2376	2818	3052
1326	2376	2818	3052
1296	2376	2738	3034
1296	2376	2738	3034
1296	2376	2738	3034
1296	2366	2738	3034
1296	2366	2716	3034
1290	2366	2716	3002
1290	2366	2716	3002
1290	2366	2716	3002
1290	2358	2716	3002
1290	2358	2716	3002
1290	2358	2712	2988
1290	2358	2712	2988
1290	2358	2712	2988
1290	2360	2712	2988
1290	2360	2712	2988
1288	2360	2	2972
1288	2360	2	2972
1288	2360	2	2972
1288	2354	2	2972
1288	2354	2	2972
1288	2354	2	2960
1288	2354	2	2960
1288	2354	2	2960
1288	2356	2	2960
1288	2356	2	2960
1288	2356	4	2972
1288	2356	4	2972
1288	2356	4	3006
1288	2354	4	3006
1288	2354	4	3006
1286	2354	4	3006
1286	2354	4	3006
1286	2354	4	3028
1286	2356	4	3028
1286	2356	4	3028
1288	2356	4	3028
1288	2356	4	3028
1288	2356	4	3028
1288	2358	4	3028
1288	2358	4	3028
1286	2358	4	3028
1286	2358	4	3028
1286	2358	4	3028
1286	2358	4	38
1286	2358	4	38
1286	2354	4	38
1286	2354	4	38
1286	2354	4	38
1286	2354	4	38
1286	2354	4	38
1286	2354	4	3026
1286	2354	4	3026
1286	2354	4	3026
1286	2354	4	3026
1286	2354	4	3026
1286	2352	4	3026
1286	2352	4	3046
1286	2352	4	3046
1286	2352	4	3046
1286	2352	4	3046
1286	2354	4	3046
1286	2354	4	3044
1286	2354	4	3044
1286	2354	4	3044
1286	2354	4	3044
1284	2350	4	3044
1284	2350	4	3042
1284	2350	4	3042
1284	2350	4	3042
1284	2350	4	3042
1286	2352	4	3042
1286	2352	4	3040
1286	2352	4	3040
1286	2352	4	3040
1286	2352	4	3040
1284	2350	4	3040
1284	2350	4	3036
1284	2350	4	3036
1284	2350	4	3036
1284	2350	4	3036
1282	2350	4	3036
1282	2350	4	3032
1282	2350	4	3032
1282	2350	4	3032
1282	2350	4	3032
1282	2354	4	3032
1282	2354	4	3032
1282	2354	4	3032
1282	2354	4	3032
1282	2354	4	3032
1284	2352	4	3032
1284	2352	4	3028
1284	2352	4	3028
1284	2352	4	3028
1284	2352	4	3028
1282	2352	4	3028
1282	2352	4	3024
1282	2352	4	3024
1282	2352	4	3024
1282	2352	600	3024
1282	2352	600	3024
1282	2352	3300	3024
1282	2352	3300	3024
1282	2352	3300	38
1282	2352	3300	38
1284	2350	2836	38
1284	2350	2836	38
1284	2350	2836	38
1284	2350	2836	1956
1284	2350	2836	1956
1284	2352	2836	3024
