1am - 5am (W)	8pm-midnight (W)
-0.2	142.6
-0.2	137.7
-0.2	134.7
-0.2	133.8
-0.2	132.8
-0.2	132.6
-0.2	132
-0.2	74.9
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
59	2
146.4	-0.2
138.9	6.4
137.8	-0.2
136.4	-0.2
135	8
134.2	145.6
133	140.3
49.3	136.9
-0.2	135.4
-0.2	134.5
-0.2	133.4
-0.2	132.5
-0.2	131.9
-0.2	131.1
-0.2	130.7
-0.2	32.8
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
48.3	-0.2
146.3	-0.2
139.1	-0.2
138.2	-0.2
136.9	-0.2
135.1	-0.2
134.4	14.7
133.1	145.1
48.1	139.4
-0.2	136.3
-0.2	134.9
-0.2	133.9
-0.2	132.6
-0.2	131.9
-0.2	131.2
-0.2	130.5
-0.2	65.3
-0.2	-0.2
-0.2	2.5
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
41.9	-0.2
145.4	-0.2
138.2	-0.2
136.7	-0.2
136.2	-0.2
134.6	72.2
133.8	143.5
132.7	141.9
59.5	136.2
-0.2	140.5
-0.2	139.7
-0.2	135.9
-0.2	135.5
-0.2	134.6
-0.2	133.7
-0.2	132.8
-0.2	131.8
-0.2	131.2
-0.2	83.8
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
8.9	-0.2
146.7	-0.2
140.1	-0.2
137.6	-0.2
136.8	-0.2
135.5	-0.2
134.4	-0.2
133.5	-0.2
70.5	-0.2
-0.2	92.6
-0.2	143.7
-0.2	137.8
-0.2	135.2
-0.2	134.2
-0.2	133.1
-0.2	136.9
-0.2	150.8
-0.2	134.1
-0.2	134.9
-0.2	133.5
-0.2	132.8
-0.2	132.2
-0.2	131.2
-0.2	130.5
-0.2	17.3
132.1	22.4
142.2	-0.2
138.1	-0.2
137.4	5.1
136.2	-0.2
134.7	62.4
134	142.1
91.7	136.8
-0.2	134.8
-0.2	134.4
-0.2	133.7
-0.2	132.8
-0.2	132
-0.2	131.2
-0.2	225.9
-0.2	369.8
-0.2	367.4
-0.2	365.9
-0.2	362.6
-0.2	363.9
-0.2	364
-0.2	363.6
-0.2	364.2
-0.2	364.3
70.8	365.8
144.1	367
138.4	367.3
137	366.5
136.2	367
134.9	367
134.1	366.5
132.4	365.3
2.1	363.9
-0.2	363.5
-0.2	362.6
-0.2	363.8
-0.2	49.4
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
-0.2	0.1
152	190.7
139.6	166.2
137.2	168.3
136.2	168.4
134.6	164.1
133.9	162.1
132.4	160.8
74.5	160
-0.2	159.4
-0.2	158.4
-0.2	158
-0.2	158.1
-0.2	159.5
-0.2	158.4
-0.2	156.6
-0.2	154.5
-0.2	153
-0.2	151.4
-0.2	150.2
-0.2	149.2
-0.2	148.2
-0.2	146.5
-0.2	145.2
-0.2	145.4
54.5	143.7
144.9	21.6
138.2	-0.2
136.5	-0.2
135.4	-0.2
133.9	-0.2
133.6	-0.2
131.8	-0.2
33	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	142.9
-0.2	146.5
-0.2	145.5
-0.2	145.4
-0.2	143.4
-0.2	143
-0.2	140.7
-0.2	140.7
-0.2	139.9
-0.2	138
-0.2	11.5
-0.2	-0.2
82.4	-0.2
143.7	-0.2
137.6	-0.2
136.7	-0.2
135.8	-0.2
134.1	-0.2
133.5	-0.2
114.8	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	152.9
-0.2	145.5
-0.2	143.8
-0.2	143.5
-0.2	141.6
-0.2	140.5
-0.2	139.1
-0.2	138.3
-0.2	122.9
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
-0.2	-0.2
111.4	-0.2
141.8	-0.2
137.7	-0.2
137	-0.2
135.5	-0.2
134.4	-0.2
133.7	-0.2
83.8	-0.2
-0.2	-0.2
