1am - 5am (W)	8pm-midnight (W)
-0.2	133.7
-0.2	134.3
-0.2	134
-0.2	134
-0.2	133.8
-0.2	133.7
-0.2	133.5
-0.2	133.4
-0.2	133.3
-0.2	133.2
-0.2	133.1
-0.2	133.5
-0.2	133.5
-0.2	133.4
-0.2	133.6
-0.2	133.5
-0.2	133.5
-0.2	172.9
-0.2	173
-0.2	173.4
-0.2	135.9
-0.2	134
-0.2	133.6
-0.2	162.6
-0.2	173.8
-0.2	173.5
-0.2	173
-0.2	173.1
-0.2	172.9
-0.2	173
-0.2	173
-0.2	173
-0.2	173
-0.2	173.2
-0.2	137.5
-0.2	134.7
-0.2	133.5
-0.2	133.1
-0.2	133.1
-0.2	133.4
-0.2	133.2
-0.2	133.1
-0.2	133.3
-0.2	133.6
-0.2	133.4
-0.2	133.3
-0.2	133.2
-0.2	133
-0.2	133
-0.2	132.8
-0.2	133.1
-0.2	133
-0.2	133.3
-0.2	133.3
-0.2	133.3
-0.2	133.4
-0.2	133.4
-0.2	133.3
-0.2	133.3
-0.2	133.4
-0.2	165.7
-0.2	172.8
-0.2	173.2
-0.2	173.5
-0.2	173.5
-0.2	152
-0.2	135
-0.2	134.4
-0.2	134
-0.2	134.2
-0.2	134.3
-0.2	134.2
-0.2	134.1
-0.2	134.4
-0.2	134.3
-0.2	134.2
-0.2	134.2
-0.2	134.3
-0.2	134.2
-0.2	134.4
-0.2	134.4
-0.2	134.5
-0.2	134.4
-0.2	134.3
-0.2	134.2
-0.2	134.1
-0.2	134.3
-0.2	134.2
-0.2	134.2
-0.2	134.1
-0.2	133.8
-0.2	134.3
-0.2	134.2
-0.2	134.2
-0.2	134
-0.2	133.8
-0.2	133.9
-0.2	133.8
-0.2	133.6
-0.2	133.8
-0.2	133.9
-0.2	133.8
-0.2	134.1
-0.2	134.3
-0.2	134.2
-0.2	134.3
-0.2	134.3
-0.2	134.5
-0.2	134.4
-0.2	134.4
-0.2	134.6
-0.2	134.6
-0.2	134.5
-0.2	134.6
-0.2	134.9
-0.2	134.9
-0.2	134.9
-0.2	134.8
-0.2	134.9
-0.2	134.7
-0.2	134.5
-0.3	134.5
-0.2	134.6
-0.2	134.4
-0.2	134.6
-0.2	134.7
-0.2	134.6
-0.2	134.7
-0.2	134.9
-0.2	134.8
-0.2	134.9
-0.2	134.9
-0.2	134.9
-0.2	134.8
-0.2	135
-0.2	135.1
-0.2	135.1
-0.2	135.2
-0.2	135.2
-0.2	135.1
-0.2	135
-0.2	135.1
-0.2	134.9
-0.2	134.8
-0.2	134.9
-0.2	135.1
-0.2	135.1
-0.2	134.8
-0.2	134.7
-0.2	134.7
-0.2	135
-0.2	135.3
-0.2	135.3
-0.2	135.3
-0.2	135.1
-0.2	134.8
-0.2	135
-0.2	135
-0.2	134.8
-0.2	135
-0.2	135
-0.2	134.9
-0.2	134.5
-0.2	134.4
-0.2	134.7
-0.2	134.8
-0.2	134.6
-0.2	134.7
-0.2	134.4
-0.2	134.3
-0.2	134.4
-0.2	134.2
-0.2	134.2
-0.2	134.2
-0.2	134.2
-0.2	134.2
-0.2	134.3
-0.2	134.2
-0.2	134.1
-0.2	133.9
-0.2	134.1
-0.2	134
-0.2	134.1
-0.2	134
-0.2	133.9
-0.2	133.9
-0.2	134
-0.2	134
-0.2	133.8
-0.2	133.9
-0.2	133.9
-0.2	133.7
-0.2	133.9
-0.2	133.8
-0.2	133.7
-0.2	133.8
-0.2	134.4
-0.2	134.3
-0.2	134.2
-0.2	134
-0.2	133.8
