1am - 5am (W)	8pm-midnight (W)
2.7	19.3
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	146.1
2.7	147.5
2.7	145
2.7	145.4
2.7	144.7
2.7	144.2
2.7	143.9
2.7	143.2
2.7	143
2.7	147
2.7	141.9
2.7	145.5
2.7	142
2.7	264.7
146.4	359.3
148.6	352.7
146.6	353.1
147	278.3
146.4	147
146.2	141.2
145.3	141.2
144.8	141.1
144.4	140.9
144	140.9
143.4	140.8
143.1	140.7
143	140.6
142.6	35.3
142.2	2.7
141.9	2.7
141.7	2.7
141.4	2.7
141	2.7
140.9	2.7
134.4	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	131.1
2.7	150.4
2.7	146.5
2.7	147.1
2.7	146.6
2.7	146.1
2.7	145.7
2.7	145.3
2.7	145
21.6	144.6
166.8	144.3
146.1	143.9
147.2	143.7
146.8	143.3
146.2	143
145.6	142.7
145.1	142.5
144.5	142.4
144.3	142.3
143.8	142.1
143.5	141.8
143	141.7
142.8	141.5
142.3	141.5
141.9	141.3
141.9	141.1
141.6	141.1
141.3	141
141.2	140.7
141	140.5
28.2	83.3
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	9.8
2.7	2.7
2.7	2.7
2.7	22.3
2.7	23.8
2.7	167
2.7	147.6
2.7	148
110.5	147.7
152.2	147.1
146.3	146.6
147.1	146.1
146.6	145.7
145.8	145
145.2	144.6
144.8	144.1
144.5	143.8
143.9	143.5
143.6	142.9
143.1	142.8
142.6	142.5
142.5	142.3
142.2	142.1
141.8	141.8
141.4	176.9
141.2	147.1
141.1	173.1
140.8	140.9
62.7	141.6
2.7	141.9
2.7	142
2.7	151.1
2.7	141.8
2.7	141.6
2.7	141.6
2.7	141.5
2.7	141.4
2.7	141.2
2.7	141.1
2.7	140.9
2.7	140.6
2.7	140.4
2.7	140.2
2.7	140
2.7	92.8
2.7	2.8
2.7	2.7
2.7	2.7
2.7	174.2
2.7	519.4
2.7	505.5
2.7	502.7
2.7	523.5
24.1	501.2
166.3	501.6
146.3	502
147	501.7
146.6	501.4
146	502
145.5	501.9
144.9	502.5
144.5	442.3
144.2	5.7
143.6	5.6
143.1	5.6
142.7	5.6
142.3	5.6
142	25.5
141.8	193
141.6	168.3
141.2	167.1
140.9	165.5
140.7	163.9
113.1	162.5
2.7	160.9
2.7	159.4
2.7	158.1
2.7	156.9
2.7	155.8
2.7	154.7
2.7	153.8
2.7	153
2.7	152.3
2.7	151.8
2.7	151
2.7	150.5
2.7	149.9
2.7	149.5
2.7	149
2.7	148.4
2.7	148
2.7	147.9
2.7	147.5
2.7	147.3
2.7	147
2.7	146.7
2.7	146.6
2.7	146.4
2.7	146.2
96.3	145.7
155	145.6
146.3	145.4
147.3	145
146.6	144.8
146	144.4
145.3	144.4
144.7	144.2
144.2	144
143.9	143.7
143.5	143.4
143	143.3
142.7	143.3
142.4	143.2
142.1	143
142	142.9
141.7	142.8
141.2	142.5
141	142.5
140.8	33.5
37.3	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
2.7	2.7
