%time Wind Power_wind
0 10.8043801 0
1 10.8043801 53570.627776
2 10.8043801 52154.2424268
3 10.8043801 49985.5758479
4 10.8043801 49410.3046725
5 10.8043801 50983.4325122
6 10.8043801 52963.433912
7 10.8043801 53025.6237837
8 10.8043801 51405.1640983
9 10.8043801 49979.3174009
10 10.8043801 50112.248317
11 10.8043801 51642.4356525
12 10.8043801 52879.1981297
13 10.8043801 52487.1497111
14 10.8043801 51102.9390242
15 10.8043801 50197.9630587
16 10.8043801 50618.3363312
17 10.8043801 51907.6646743
18 10.8043801 52652.0065774
19 10.8043801 52108.1434303
20 10.8043801 50990.3253817
21 10.8043801 50444.3063716
22 10.8043801 50971.4666261
23 10.8043801 52000.6006022
24 10.8043801 52415.3304642
25 10.8043801 51840.5043115
26 10.8043801 50966.2424496
27 10.8043801 50672.5931231
28 10.8043801 51218.0248193
29 10.8043801 52010.2885212
30 10.8043801 52202.1069972
31 10.8043801 51652.8964817
32 10.8043801 50988.989395
33 10.8043801 50871.2613784
34 10.8043801 51387.305565
35 10.8043801 51976.9283378
36 10.8043801 52020.5750076
37 10.8043801 51525.2053758
38 10.8043801 51037.2182616
39 10.8043801 51037.7906501
40 10.8043801 51499.0741927
41 10.8043801 51921.960077
42 10.8043801 51871.4854573
43 10.8043801 51442.8020728
44 10.8043801 51097.8765862
45 10.8043801 51173.030421
46 10.8043801 51568.1190197
47 10.8043801 51858.186959
48 10.8043801 51752.7029226
49 10.8043801 51394.1736059
50 10.8043801 51162.3580575
51 10.8043801 51279.5556242
52 10.8043801 51606.0703342
53 10.8043801 51793.5428302
54 10.8043801 51660.81802
55 10.8043801 51370.0446809
56 10.8043801 51225.0236059
57 10.8043801 51360.8714628
58 10.8043801 51622.1307406
59 10.8043801 51732.8212026
60 10.8043801 51591.919139
61 10.8043801 51362.9964099
62 10.8043801 51282.4071999
63 10.8043801 51420.86851
64 10.8043801 51623.4704816
65 10.8043801 51678.6758441
66 10.8043801 51542.0418796
67 10.8043801 51367.2188946
68 10.8043801 51332.6482092
69 10.8043801 51463.4321549
70 10.8043801 51615.5392791
71 10.8043801 51632.2968635
72 10.8043801 51507.4435594
73 10.8043801 51378.2889864
74 10.8043801 51375.0365541
75 10.8043801 51492.1840162
76 10.8043801 51602.3560299
77 10.8043801 51593.8991238
78 10.8043801 51484.7617422
79 10.8043801 51392.9514733
80 10.8043801 51409.6447892
81 10.8043801 51510.3328722
82 10.8043801 51586.7802234
83 10.8043801 51563.0804248
84 10.8043801 51471.0913342
85 10.8043801 51408.9071784
86 10.8043801 51437.0387381
87 10.8043801 51520.6088048
88 10.8043801 51570.7575199
89 10.8043801 51539.0816152
90 10.8043801 51464.0050925
91 10.8043801 51424.616041
92 10.8043801 51458.0588029
93 10.8043801 51525.255345
94 10.8043801 51555.5335238
95 10.8043801 51520.9710849
96 10.8043801 51461.5364809
97 10.8043801 51439.1216547
98 10.8043801 51473.662129
99 10.8043801 51526.0585385
100 10.8043801 51541.8335795
101 10.8043801 51507.7710536
102 10.8043801 51462.139309
103 10.8043801 51451.9008467
104 10.8043801 51484.8147501
105 10.8043801 51524.3968212
106 10.8043801 51530.0094715
107 10.8043801 51498.5396481
108 10.8043801 51464.6349329
109 10.8043801 51462.7392211
110 10.8043801 51492.4229979
111 10.8043801 51521.3001956
112 10.8043801 51520.155811
113 10.8043801 51492.4200745
114 10.8043801 51468.1547984
115 10.8043801 51471.6316069
116 10.8043801 51497.2944613
117 10.8043801 51517.5109793
118 10.8043801 51512.1998552
119 10.8043801 51488.6659531
120 10.8043801 51472.0836743
121 10.8043801 51478.7050572
122 10.8043801 51500.1202188
123 10.8043801 51513.5412942
124 10.8043801 51505.9688301
125 10.8043801 51486.649999
126 10.8043801 51476.0070048
127 10.8043801 51484.1613577
128 10.8043801 51501.4716246
129 10.8043801 51509.7245702
130 10.8043801 51501.2387589
131 10.8043801 51485.8616253
